Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00        3     0.00     0.00  std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::max_size(std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        3     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_S_max_size(std::pmr::polymorphic_allocator<unsigned int> const&)
  0.00      0.03     0.00        3     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.03     0.00        2     0.00     0.00  stellar::hot_reload_load(stellar::Hot_reload_library_data&)
  0.00      0.03     0.00        2     0.00     0.00  stellar::watcher_init(char const*)
  0.00      0.03     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::resource() const
  0.00      0.03     0.00        2     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::max_size() const
  0.00      0.03     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.03     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::~_Vector_base()
  0.00      0.03     0.00        2     0.00     0.00  std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >::move_iterator(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >)
  0.00      0.03     0.00        2     0.00     0.00  std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::deallocate(std::pmr::polymorphic_allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::allocate(std::pmr::polymorphic_allocator<unsigned int>&, unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::uniform_real_distribution<float>::param_type::param_type(float, float)
  0.00      0.03     0.00        2     0.00     0.00  std::uniform_real_distribution<float>::uniform_real_distribution(float, float)
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::memory_resource::deallocate(void*, unsigned long, unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::memory_resource::allocate(unsigned long, unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::memory_resource::memory_resource()
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::allocate(unsigned long)
  0.00      0.03     0.00        2     0.00     0.00  std::pmr::monotonic_buffer_resource::monotonic_buffer_resource(void*, unsigned long, std::pmr::memory_resource*)
  0.00      0.03     0.00        2     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::end()
  0.00      0.03     0.00        2     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::~vector()
